0,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,31,UTTAR PRADESH,3109,BIJNOR,139821,712124.3333,1,0,0,45,1018,19649,3,1,111853,0,1024,0,21.36373,3,3,178847,260714,0,266566,369951,19694,21.36373,3,12,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3110,MORADABAD,77493,822993.21,1,0,0,89,590,15382,3,1,30747,0,110,0,24.6897963,3,3,107008,146742,0,190379,263028,15471,24.6897963,0,18,99.88,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3112,SAHARANPUR,61955,819675.6433,1,0,0,101,727,13518,3,1,65795,0,276,0,24.5902693,2,3,84928,126905,0,163599,226151,13619,24.5902693,2,22,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,23951,0,0,0,0,44,496,5118,0,0,10995,0,74,0,0.01896,0,0,31568,39851,0,78820,94252,5162,0.01896,0,7,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3119,MATHURA,62463,0,0,0,0,6,478,12537,0,0,36046,0,231,0,6.9341276,0,0,88367,118904,0,141370,188531,12543,6.9341276,0,13,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3125,BAREILLY,180182,260708.2133,1,0,0,51,1074,24194,6,0,53014,0,157,0,15.6424928,6,6,159605,234039,0,277014,380605,24245,15.6424928,1,27,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3126,PILIBHIT,96788,0,0,0,0,77,648,16643,0,0,38742,0,571,0,16.1040211,0,0,136893,213876,0,243029,356713,16720,16.1040211,0,18,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3139,JHANSI,287805,0,0,0,0,6,411,16472,0,0,54758,0,1320,0,31.8947539,0,0,102836,164374,0,188338,291883,16478,31.8947539,0,38,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3141,HAMIRPUR,360562,0,0,0,0,0,317,14128,0,0,40326,0,72,0,3.12273,0,0,112646,181902,0,176057,282362,14128,3.12273,0,40,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3144,PRATAPGARH,341639,0,0,0,0,112,943,25445,0,0,93838,0,535,0,104.1012431,0,0,193184,246486,0,352884,447839,25557,104.1012431,0,24,0,0,0,NA
